Scenario,Year,CO2 emissions
SSP5 - 3.4,2050,37420938200
SSP5 - 3.4,2060,28454157200
SSP5 - 3.4,2070,15509429100
SSP5 - 3.4,2080,2748193000
SSP5 - 3.4,2090,-8535276800
SSP5 - 3.4,2100,-13600102400
SSP5 - 4.5,2005,35229942500
SSP5 - 4.5,2010,36335005000
SSP5 - 4.5,2020,39542470000
SSP5 - 4.5,2030,44934095600
SSP5 - 4.5,2040,46002393100
SSP5 - 4.5,2050,43224373000
SSP5 - 4.5,2060,37171389900
SSP5 - 4.5,2070,29477403200
SSP5 - 4.5,2080,23649949400
SSP5 - 4.5,2090,17166311100
SSP5 - 4.5,2100,15860667200
SSP5 - 6.0,2005,35229942500
SSP5 - 6.0,2010,36335005000
SSP5 - 6.0,2020,39560359500
SSP5 - 6.0,2030,47835990100
SSP5 - 6.0,2040,54512741600
SSP5 - 6.0,2050,58172971300
SSP5 - 6.0,2060,58939778700
SSP5 - 6.0,2070,55299005200
SSP5 - 6.0,2080,50540137300
SSP5 - 6.0,2090,44186311100
SSP5 - 6.0,2100,40968865200
SSP5 - Baseline,2005,35279640500
SSP5 - Baseline,2010,36371124600
SSP5 - Baseline,2020,44610389300
SSP5 - Baseline,2030,56726452000
SSP5 - Baseline,2040,69861617000
SSP5 - Baseline,2050,84436466100
SSP5 - Baseline,2060,1.01302E+11
SSP5 - Baseline,2070,1.175E+11
SSP5 - Baseline,2080,1.29499E+11
SSP5 - Baseline,2090,1.30398E+11
SSP5 - Baseline,2100,1.26098E+11
