Scenario,Year,GDP
SSP5 - 6.0,2060,4.722E+14
SSP5 - 6.0,2070,5.963E+14
SSP5 - 6.0,2080,7.291E+14
SSP5 - 6.0,2090,8.704E+14
SSP5 - 6.0,2100,1.02E+15
SSP5 - Baseline,2005,5.669E+13
SSP5 - Baseline,2010,6.757E+13
SSP5 - Baseline,2020,1.019E+14
SSP5 - Baseline,2030,1.658E+14
SSP5 - Baseline,2040,2.602E+14
SSP5 - Baseline,2050,3.647E+14
SSP5 - Baseline,2060,4.783E+14
SSP5 - Baseline,2070,6.058E+14
SSP5 - Baseline,2080,7.406E+14
SSP5 - Baseline,2090,8.823E+14
SSP5 - Baseline,2100,1.031E+15
